77	 156		 IM	Rosen, Eric	 2325	 1.5	 ½ - ½	 1.5	 GM	Dragnev, Valentin	 2473		 109
78	 168		 IM	George, Kevin	 2212	 1.5	 ½ - ½	 1.5	 IM	Lou, Yiping	 2471		 110
79	 118		 GM	Rasulov, Vugar	 2456	 1.5	 0 - 1	 1.5	 IM	Schnaider, Ilan	 2285		 161
80	 136		 IM	Saraci, Nderim	 2419	 1.5	 1 - 0	 1.5	 IM	Kvaloy, Aksel Bu	 2226		 167
81	 135		 IM	Urazayev, Arystanbek	 2423	 1	 ½ - ½	 1.5	 IM	Manon, Reja Neer	 2193		 171
82	 163		 FM	Larrea, Manuel	 2254	 1	 0 - 1	 1	 GM	Andersen, Mads	 2512		 96
83	 175		 FM	Soo, Kai Jie	 2112	 1	 0 - 1	 1	 GM	Erenburg, Sergey	 2510		 97
84	 179		 	Ahmed, Nidal	 1827	 1	 0 - 1	 1	 GM	Gagunashvili, Merab	 2460		 114
85	 180		 	Wong, Hayoung	 1704	 1	 0 - 1	 1	 GM	Blohberger, Felix	 2423		 133
86	 157		 IM	Juksta, Karolis	 2309	 1	 1 - 0	 1	 FM	Esquivel Golcher, Luis Enrique	 2073		 177
87	 169		 FM	Grahn, Vidar	 2206	 0.5	 0 - 1	 0.5	 GM	Horvath, Dominik	 2430		 130
88	 142		 IM	Makoto, Rodwell	 2407	 0.5	 0 - 1	 0.5	 CM	Meylan, Andre	 2083		 176
89	 148		 GM	Gretarsson, Helgi Ass	 2392	 0.5	 0 - 1	 0.5	 CM	Pereira, Fabian	 2148		 174
90	 172		 FM	Wanyama, Harold	 2191	 0	 0 - 1	 0	 CM	Sharshenbekov, Emir	 2243		 164
