71	 123		 IM	Bilych, Oleksii	 2450	 4.5	 0-1	 4.5	 IM	Banh Gia, Huy	 2203		 170
72	 132		 GM	Tang, Andrew	 2425	 4.5	 1-0	 4.5	 IM	Schnaider, Ilan	 2285		 161
73	 171		 IM	Manon, Reja Neer	 2193	 4.5	 0-1	 4.5	 IM	Saraci, Nderim	 2419		 136
74	 126		 GM	Matviishen, Viktor	 2436	 4	 0-1	 4	 GM	Barbosa, Oliver	 2610		 47
75	 130		 GM	Horvath, Dominik	 2430	 4	 0-1	 4	 GM	Fressinet, Laurent	 2598		 53
76	 63		 GM	Hovhannisyan, Robert	 2575	 4	 1-0	 4	 GM	Escobar Forero, Alder	 2409		 140
77	 108		 GM	Benjamin, Joel	 2473	 4	 0-1	 4	 FM	Wanyama, Harold	 2191		 172
78	 135		 IM	Urazayev, Arystanbek	 2423	 4	 1-0	 4	 GM	Dragnev, Valentin	 2473		 109
79	 119		 GM	Wagner, Dennis	 2456	 4	 0-1	 4	 GM	Kacharava, Nikolozi	 2405		 143
80	 92		 GM	Corrales Jimenez, Fidel	 2516	 3.5	 1/2-1/2	 3.5	 IM	Rosen, Eric	 2325		 156
81	 97		 GM	Erenburg, Sergey	 2510	 3.5	 1-0	 3.5	 GM	Zhalmakhanov, Ramazan	 2423		 134
82	 168		 IM	George, Kevin	 2212	 3.5	 0-1	 3.5	 IM	Druska, Juraj	 2433		 129
83	 175		 FM	Soo, Kai Jie	 2112	 3.5	 1-0	 3	 IM	Makoto, Rodwell	 2407		 142
84	 79		 GM	Bologan, Victor	 2540	 3	 1-0	 3	 FM	Larrea, Manuel	 2254		 163
85	 166		 FM	Degenbaev, Aziz	 2227	 3	 1/2-1/2	 3	 FM	Papasimakopoulos, Alexandros	 2417		 137
86	 153		 IM	Gaehwiler, Gabriel	 2353	 3	 1-0	 3	 CM	Pereira, Fabian	 2148		 174
87	 180		 	Wong, Hayoung	 1704	 3	 0-1	 2.5	 FM	Grahn, Vidar	 2206		 169
88	 176		 CM	Meylan, Andre	 2083	 2	 0-1	 2	 FM	Esquivel Golcher, Luis Enrique	 2073		 177
