72	 150		 IM	Macovei, Andrei	 2375	 2.5	 ½ - ½	 2.5	 GM	Dragnev, Valentin	 2473		 109
73	 145		 IM	Thavandiran, Shiyam	 2405	 2.5	 0 - 1	 2.5	 IM	Lou, Yiping	 2471		 110
74	 111		 GM	Christiansen, Johan-Sebastian	 2468	 2.5	 0 - 1	 2.5	 IM	Damjanovic, Vuk	 2375		 149
75	 156		 IM	Rosen, Eric	 2325	 2.5	 0 - 1	 2.5	 GM	Gagunashvili, Merab	 2460		 114
76	 157		 IM	Juksta, Karolis	 2309	 2.5	 0 - 1	 2.5	 GM	Lodici, Lorenzo	 2450		 122
77	 123		 IM	Bilych, Oleksii	 2450	 2.5	 0 - 1	 2.5	 FM	Adewumi, Tanitoluwa	 2262		 162
78	 126		 GM	Matviishen, Viktor	 2436	 2.5	 1 - 0	 2.5	 FM	Degenbaev, Aziz	 2227		 166
79	 168		 IM	George, Kevin	 2212	 2.5	 0 - 1	 2	 GM	Erenburg, Sergey	 2510		 97
80	 118		 GM	Rasulov, Vugar	 2456	 2	 1 - 0	 2	 FM	Soo, Kai Jie	 2112		 175
81	 164		 CM	Sharshenbekov, Emir	 2243	 2	 1 - 0	 2	 GM	Wagner, Dennis	 2456		 119
82	 130		 GM	Horvath, Dominik	 2430	 2	 ½ - ½	 2	 IM	Gaehwiler, Gabriel	 2353		 153
83	 171		 IM	Manon, Reja Neer	 2193	 2	 ½ - ½	 2	 FM	Papasimakopoulos, Alexandros	 2417		 137
84	 140		 GM	Escobar Forero, Alder	 2409	 2	 1 - 0	 2	 FM	Esquivel Golcher, Luis Enrique	 2073		 177
85	 167		 IM	Kvaloy, Aksel Bu	 2226	 2	 0 - 1	 1.5	 GM	Gretarsson, Helgi Ass	 2392		 148
86	 60		 GM	Chanda, Sandipan	 2585	 1.5	 1 - 0	 1.5	 CM	Pereira, Fabian	 2148		 174
87	 176		 CM	Meylan, Andre	 2083	 1.5	 0 - 1	 1.5	 GM	Hungaski, Robert	 2402		 147
88	 163		 FM	Larrea, Manuel	 2254	 1	 0 - 1	 1	 FM	Wanyama, Harold	 2191		 172
89	 179		 	Ahmed, Nidal	 1827	 1	 0 - 1	 1	 	Wong, Hayoung	 1704		 180
90	 142		 IM	Makoto, Rodwell	 2407	 0.5	 1 - 0	 0.5	 FM	Grahn, Vidar	 2206		 169
