81	 108		 GM	Benjamin, Joel	 2473	 0	 ½ - ½	 0	 FM	Grahn, Vidar	 2206		 169
82	 170		 IM	Banh Gia, Huy	 2203	 0	 1 - 0	 0	 GM	Dragnev, Valentin	 2473		 109
83	 110		 IM	Lou, Yiping	 2471	 0	 1 - 0	 0	 IM	Manon, Reja Neer	 2193		 171
84	 114		 GM	Gagunashvili, Merab	 2460	 0	 1 - 0	 0	 FM	Soo, Kai Jie	 2112		 175
85	 172		 FM	Wanyama, Harold	 2191	 0	 0 - 1	 0	 GM	Zarnicki, Pablo	 2460		 115
86	 174		 CM	Pereira, Fabian	 2148	 0	 0 - 1	 0	 GM	Madaminov, Mukhiddin	 2456		 117
87	 176		 CM	Meylan, Andre	 2083	 0	 0 - 1	 0	 GM	Wagner, Dennis	 2456		 119
88	 120		 GM	Ghosh, Diptayan	 2455	 0	 1 - 0	 0	 FM	Esquivel Golcher, Luis Enrique	 2073		 177
89	 180		 	Wong, Hayoung	 1704	 0	 0 - 1	 0	 IM	Bilych, Oleksii	 2450		 123
90	 124		 IM	Tsaruk, Maksim	 2437	 0	 1 - 0	 0	 	Ahmed, Nidal	 1827		 179
