73	 156		 IM	Rosen, Eric	 2325	 1	 ½ - ½	 1	 GM	Le Tuan, Minh	 2492		 105
74	 106		 GM	Brodsky, David	 2491	 1	 1 - 0	 1	 	Ahmed, Nidal	 1827		 179
75	 166		 FM	Degenbaev, Aziz	 2227	 1	 1 - 0	 1	 GM	Gagunashvili, Merab	 2460		 114
76	 170		 IM	Banh Gia, Huy	 2203	 1	 1 - 0	 1	 GM	Madaminov, Mukhiddin	 2456		 117
77	 130		 GM	Horvath, Dominik	 2430	 0.5	 0 - 1	 0.5	 GM	Xiong, Jeffery	 2714		 12
78	 63		 GM	Hovhannisyan, Robert	 2575	 0.5	 1 - 0	 0.5	 GM	Hungaski, Robert	 2402		 147
79	 168		 IM	George, Kevin	 2212	 0.5	 1 - 0	 0.5	 GM	Bezold, Michael	 2574		 64
80	 161		 IM	Schnaider, Ilan	 2285	 0.5	 0 - 1	 0.5	 GM	Liang, Awonder	 2519		 91
81	 108		 GM	Benjamin, Joel	 2473	 0.5	 ½ - ½	 0.5	 IM	Juksta, Karolis	 2309		 157
82	 174		 CM	Pereira, Fabian	 2148	 0.5	 0 - 1	 0.5	 GM	Christiansen, Johan-Sebastian	 2468		 111
83	 169		 FM	Grahn, Vidar	 2206	 0.5	 0 - 1	 0.5	 IM	Druska, Juraj	 2433		 129
84	 47		 GM	Barbosa, Oliver	 2610	 0	 1 - 0	 0	 CM	Sharshenbekov, Emir	 2243		 164
85	 172		 FM	Wanyama, Harold	 2191	 0	 0 - 1	 0	 GM	Dragnev, Valentin	 2473		 109
86	 142		 IM	Makoto, Rodwell	 2407	 0	 ½ - ½	 0	 IM	Manon, Reja Neer	 2193		 171
87	 145		 IM	Thavandiran, Shiyam	 2405	 0	 1 - 0	 0	 FM	Soo, Kai Jie	 2112		 175
88	 146		 IM	Oro, Faustino	 2404	 0	 1 - 0	 0	 CM	Meylan, Andre	 2083		 176
89	 148		 GM	Gretarsson, Helgi Ass	 2392	 0	 0 - 1	 0	 FM	Esquivel Golcher, Luis Enrique	 2073		 177
90	 163		 FM	Larrea, Manuel	 2254	 0	 1 - 0	 0	 	Wong, Hayoung	 1704		 180
